filename,marc_001,institutional_id,marc_005,institutional_record_date,call_number,title,iiif_manifest,catalog_url,generated_at
ds_50_40_00153551.xml,,Ricketts 136,,2011-11-06T02:11:16,Ricketts 136,Book of Hours,"","",2023-01-12T17:53:29-05:00
ds_50_40_00153552.xml,,Ricketts D: 5,,2011-11-06T02:11:59,Ricketts D: 5,"","","",2023-01-12T17:53:29-05:00
ds_50_40_00153553.xml,,Ricketts L: 1,,2011-11-06T02:12:17,Ricketts L: 1,"","","",2023-01-12T17:53:29-05:00
ds_50_40_00153554.xml,,Ricketts 148,,2011-11-06T02:12:36,Ricketts 148,Book of Hours,"","",2023-01-12T17:53:29-05:00
ds_50_40_00153555.xml,,Ricketts K: 6,,2011-11-06T02:12:54,Ricketts K: 6,"","","",2023-01-12T17:53:29-05:00
ds_50_40_00153556.xml,,Medieval and Renaissance 36,,2011-11-06T02:13:12,Medieval and Renaissance 36,"Breviary of Elisabeth von Walmden; Inscription: the flyleaf (fol. 1v), ""iIste liber est in custodia Elizabet de wal[m]den quem scribere fecit ad laudem dei si q[uequam] in eo legerit oret pro ea propter deum"", ‘This book is in the keeping of Elisabeth von Walmden who had it written to the praise of God; whoever reads from it, may she pray for her, for the sake of God’, to which another hand (perhaps hers) adds in vita & post mort; Breviary","","",2023-01-12T17:53:29-05:00
ds_50_40_00153557.xml,,Poole 17,,2011-11-06T02:13:56,Poole 17,Antiphoner,"","",2023-01-12T17:53:29-05:00
ds_50_40_00153558.xml,,Ricketts L: 2,,2011-11-06T02:14:14,Ricketts L: 2,"","","",2023-01-12T17:53:29-05:00
ds_50_40_00153559.xml,,Ricketts 51,,2011-11-06T02:14:45,Ricketts 51,Diurnal; Diurnal,"","",2023-01-12T17:53:29-05:00
ds_50_40_00153560.xml,,Poole 70,,2011-11-06T02:15:17,Poole 70,"Antiphoner, Gradual","","",2023-01-12T17:53:29-05:00
ds_50_40_00153561.xml,,Adomeit 9,,2011-11-06T02:15:48,Adomeit 9,Book of Hours; Miniature,"","",2023-01-12T17:53:29-05:00
ds_50_40_00153562.xml,,Ricketts 108,,2011-11-06T02:16:07,Ricketts 108,"","","",2023-01-12T17:53:29-05:00
ds_50_40_00153563.xml,,Ricketts 259,,2011-11-06T02:16:25,Ricketts 259,Royal Writ,"","",2023-01-12T17:53:29-05:00
ds_50_40_00153564.xml,,Ricketts 274,,2011-11-06T02:16:56,Ricketts 274,"","","",2023-01-12T17:53:29-05:00
ds_50_40_00153565.xml,,Ricketts 233,,2011-11-06T02:17:14,Ricketts 233,Carmen de nuptiis Pauli Sfortiae et Lucretiae Piae; DE NUPTIIS PAULLI SFORTIAE ET LU/ CRETIAE PIAE/ ACHILLIS STATII LUSITANI/ CARMEN; Wedding poem,"","",2023-01-12T17:53:29-05:00
ds_50_40_00153566.xml,,Ricketts 155,,2011-11-06T02:17:57,Ricketts 155,"Office de la Virège Marie; Escrit Par N. JARRY, M. DC. LI; Office of the Virgin Mary","","",2023-01-12T17:53:29-05:00
ds_50_40_00153567.xml,,Ricketts 140,,2011-11-06T02:18:41,Ricketts 140,Book of Hours,"","",2023-01-12T17:53:29-05:00
ds_50_40_00153568.xml,,Poole 80,,2011-11-06T02:18:59,Poole 80,Sententiae; Quod visa impiorum pena non minuiit beatorum gloriam.,"","",2023-01-12T17:53:29-05:00
