holding_institution_wikidata_qid,holding_institution_wikidata_label,ds_id,source_data_type,filename,holding_institution_institutional_id,institutional_id_location_in_source,call_number,link_to_institutional_record,record_last_updated,title,iiif_manifest_url,manifest_generated_at
Q1976985,The Nelson-Atkins Museum of Art ,,ds-mets-xml,ds_mets-nelson-atkins-kg40.xml,KG 40,/mets:mets[./mets:dmdSec/mets:mdWrap/mets:xmlData/mods:mods/mods:identifier[@type = 'local' and ./text() = 'ID_PLACEHOLDER']],KG 40,https://archive.org/details/KG40_46,2016-09-13T08:51:34,"Book of Hours, excerpt Hours of the Cross",https://iiif.archivelab.org/iiif/images_KG40_46/manifest.json,2023-12-16T12:51:52-0500
Q49204,Smith College,,ds-mets-xml,cubanc_50_48_00206114.xml,Ms. 263,/mets:mets[./mets:dmdSec/mets:mdWrap/mets:xmlData/mods:mods/mods:identifier[@type = 'local' and ./text() = 'ID_PLACEHOLDER']],Ms. 263,https://archive.org/details/Ms.263_48,2016-09-07T03:12:58,[Missal].|Missal (Smith College Ms. 263),https://iiif.archivelab.org/iiif/images_Ms.263_48/manifest.json,2023-12-16T12:51:52-0500
Q49204,Smith College,,ds-mets-xml,cubanc_50_48_00206115.xml,Ms. 261,/mets:mets[./mets:dmdSec/mets:mdWrap/mets:xmlData/mods:mods/mods:identifier[@type = 'local' and ./text() = 'ID_PLACEHOLDER']],Ms. 261,https://archive.org/details/Ms.261_48,2016-09-08T10:09:19,[Breviary]|Missal. (Smith College Ms. 261),https://iiif.archivelab.org/iiif/images_Ms.261_48/manifest.json,2023-12-16T12:51:52-0500
