contributor_wikidata_qid,contributor_name,source_type,filename,call_number,title,ds_id,marc_001,catalog_id,catalog_id_field,marc_005,institutional_record_date,catalog_url,iiif_manifest,generated_at
Q49117,University of Pennsylvania,marc-xml,9947974193503681.xml,LJS 27,Algorismus,"",9947974193503681,"","",20211221100746.0,"",https://franklin.library.upenn.edu/catalog/FRANKLIN_9947974193503681,https://colenda.library.upenn.edu/phalt/iiif/2/81431-p30g97/manifest,2023-01-23T18:08:05-05:00
Q49117,University of Pennsylvania,marc-xml,9948120243503681.xml,LJS 194,Geometria,"",9948120243503681,"","",20211221114942.0,"",https://franklin.library.upenn.edu/catalog/FRANKLIN_9948120243503681,https://colenda.library.upenn.edu/phalt/iiif/2/81431-p3h37b/manifest,2023-01-23T18:08:05-05:00
Q49117,University of Pennsylvania,marc-xml,9948124823503681.xml,LJS 216,Tractatum de spera ... etc,"",9948124823503681,"","",20211222105116.0,"",https://franklin.library.upenn.edu/catalog/FRANKLIN_9948124823503681,https://colenda.library.upenn.edu/phalt/iiif/2/81431-p3133g/manifest,2023-01-23T18:08:05-05:00
Q49117,University of Pennsylvania,marc-xml,9948175023503681.xml,LJS 223,Questiones logicales ... etc,"",9948175023503681,"","",20211222105430.0,"",https://franklin.library.upenn.edu/catalog/FRANKLIN_9948175023503681,https://colenda.library.upenn.edu/phalt/iiif/2/81431-p3n00zt9k/manifest,2023-01-23T18:08:05-05:00
Q49117,University of Pennsylvania,marc-xml,9948179063503681.xml,LJS 225,Litterarum simulationis liber,"",9948179063503681,"","",20211222110247.0,"",https://franklin.library.upenn.edu/catalog/FRANKLIN_9948179063503681,https://colenda.library.upenn.edu/phalt/iiif/2/81431-p3q643/manifest,2023-01-23T18:08:05-05:00
Q49117,University of Pennsylvania,marc-xml,9948181893503681.xml,LJS 232,Trattato delle proportioni et proportionalità,"",9948181893503681,"","",20211011114819.0,"",https://franklin.library.upenn.edu/catalog/FRANKLIN_9948181893503681,https://colenda.library.upenn.edu/phalt/iiif/2/81431-p3c95d/manifest,2023-01-23T18:08:05-05:00
Q49117,University of Pennsylvania,marc-xml,9948558353503681.xml,Oversize LJS 239,"Pattern-book of bridles, bits and straps","",9948558353503681,"","",20220316124458.0,"",https://franklin.library.upenn.edu/catalog/FRANKLIN_9948558353503681,https://colenda.library.upenn.edu/phalt/iiif/2/81431-p39p2w678/manifest,2023-01-23T18:08:05-05:00
Q49117,University of Pennsylvania,marc-xml,9948588323503681.xml,Oversize LJS 254,Buch von den probierten Kü̈̈nsten,"",9948588323503681,"","",20211011114816.0,"",https://franklin.library.upenn.edu/catalog/FRANKLIN_9948588323503681,https://colenda.library.upenn.edu/phalt/iiif/2/81431-p3222r66r/manifest,2023-01-23T18:08:05-05:00
Q49117,University of Pennsylvania,marc-xml,9948617063503681.xml,LJS 267,De ludo schacchorum seu de moribus hominum et officiis nobilium ... etc,"",9948617063503681,"","",20211222112953.0,"",https://franklin.library.upenn.edu/catalog/FRANKLIN_9948617063503681,https://colenda.library.upenn.edu/phalt/iiif/2/81431-p3251fk8k/manifest,2023-01-23T18:08:05-05:00
Q49117,University of Pennsylvania,marc-xml,9949183233503681.xml,Oversize LJS 278,Kitāb-i Ḥashāyish,"",9949183233503681,"","",20211008115443.0,"",https://franklin.library.upenn.edu/catalog/FRANKLIN_9949183233503681,https://colenda.library.upenn.edu/phalt/iiif/2/81431-p36w9694p/manifest,2023-01-23T18:08:05-05:00
