subject_as_recorded,subfield_codes,vocab,source_authority_uri,authorized_label,structured_value,ds_qid
Monasticism and religious orders,a,0,http://id.loc.gov/authorities/subjects/sh85086717,Monasticism and religious orders,http://id.worldcat.org/fast/1025128,
Music theory--Arab countries--Early works to 1800.,a--z--v,0,,Music theory;Arab countries;Early works,http://id.worldcat.org/fast/1030620;http://id.worldcat.org/fast/1240128;http://id.worldcat.org/fast/1411636,
Mysticism--Hinduism,a--x,0,http://id.loc.gov/authorities/subjects/sh85089349,Mysticism--Hinduism,http://id.worldcat.org/fast/1031638,
New Jersey--Princeton,a--z,fast,(OCoLC)fst01204939,New Jersey--Princeton,http://id.worldcat.org/fast/1204939,
New Jersey--Princeton,a--z,fast,(OCoLC)fst01204939--(uri) http://id.worldcat.org/fast/fst01204939,New Jersey--Princeton,http://id.worldcat.org/fast/1204939,
North Africa,a,fast,(OCoLC)fst01239515,North Africa,http://id.worldcat.org/fast/1239515,
"Orléanais (France)--Officials and employees--Salaries, etc",a--x--x,0,,"France--Orléanais;Local officials and employees--Salaries, etc.",http://id.worldcat.org/fast/1223823;http://id.worldcat.org/fast/1001466,
Pachisi,a,fast,http://id.worldcat.org/fast/1049913,Pachisi,http://id.worldcat.org/fast/1049913,
Peasant uprisings--Europe,a--z,0,,Peasant uprisings;Europe,http://id.worldcat.org/fast/1056146;http://id.worldcat.org/fast/1245064,
Persian literature--747-1500--Texts--Manuscripts,a--y--x--x,0,,Persian literature;Texts;Manuscripts,http://id.worldcat.org/fast/1058528;http://id.worldcat.org/fast/1423705;http://id.worldcat.org/fast/1008230,
"Peru--History--Conquest, 1522-1548",a--x--y,0,http://id.loc.gov/authorities/subjects/sh85100205,Peru;History,http://id.worldcat.org/fast/1205190;http://id.worldcat.org/fast/958235,
Printing--History--16th century.,a--x--y,0,,Printing;History;Sixteenth century,http://id.worldcat.org/fast/1076612;http://id.worldcat.org/fast/958235;http://id.worldcat.org/fast/1119851,
