mmsid,iiif_manifest_url
9959415183503681,https://colenda.library.upenn.edu/phalt/iiif/2/81431-p3zk55n01/manifest
9959419423503681,https://colenda.library.upenn.edu/phalt/iiif/2/81431-p3p843w7r/manifest
9962496313503681,https://colenda.library.upenn.edu/phalt/iiif/2/81431-p3sq8qq3z/manifest
9962565163503681,https://colenda.library.upenn.edu/phalt/iiif/2/81431-p3bv7b23v/manifest
9962793853503681,https://colenda.library.upenn.edu/phalt/iiif/2/81431-p3gm81v63/manifest
9962793863503681,https://colenda.library.upenn.edu/phalt/iiif/2/81431-p3736m80h/manifest
9962793893503681,https://colenda.library.upenn.edu/phalt/iiif/2/81431-p3s46hc6t/manifest
9962793903503681,https://colenda.library.upenn.edu/phalt/iiif/2/81431-p3610vz60/manifest
9962793913503681,https://colenda.library.upenn.edu/phalt/iiif/2/81431-p3k931c96/manifest
9962878673503681,https://colenda.library.upenn.edu/phalt/iiif/2/81431-p3625f/manifest
9962905673503681,https://colenda.library.upenn.edu/phalt/iiif/2/81431-p3db7vr3g/manifest
9962984263503681,https://colenda.library.upenn.edu/phalt/iiif/2/81431-p32805318/manifest
9962984323503681,https://colenda.library.upenn.edu/phalt/iiif/2/81431-p33b5w832/manifest
9962986513503681,https://colenda.library.upenn.edu/phalt/iiif/2/81431-p3zg41/manifest
9962986713503681,https://colenda.library.upenn.edu/phalt/iiif/2/81431-p31r6n35s/manifest
9962986813503681,https://colenda.library.upenn.edu/phalt/iiif/2/81431-p3gb15/manifest
9962986913503681,https://colenda.library.upenn.edu/phalt/iiif/2/81431-p37940t6f/manifest
9962986963503681,https://colenda.library.upenn.edu/phalt/iiif/2/81431-p3c551/manifest
9962987793503681,https://colenda.library.upenn.edu/phalt/iiif/2/81431-p3p843w68/manifest
9962991713503681,https://colenda.library.upenn.edu/phalt/iiif/2/81431-p3pw05/manifest
9962991893503681,https://colenda.library.upenn.edu/phalt/iiif/2/81431-p38k74x8m/manifest
9969738033503681,https://colenda.library.upenn.edu/phalt/iiif/2/81431-p3pz51t0x/manifest
9969738073503681,https://colenda.library.upenn.edu/phalt/iiif/2/81431-p3fj29k52/manifest
9970745763503681,https://colenda.library.upenn.edu/phalt/iiif/2/81431-p3p26q93b/manifest
9972460113503681,https://colenda.library.upenn.edu/phalt/iiif/2/81431-p3t14tw1c/manifest
9977325732103681,https://colenda.library.upenn.edu/phalt/iiif/2/81431-p3qv3c96r/manifest
9977325732203681,https://colenda.library.upenn.edu/phalt/iiif/2/81431-p39s1ks0f/manifest
9977406946003681,https://colenda.library.upenn.edu/phalt/iiif/2/81431-p3rv0d67g/manifest
9977406946103681,https://colenda.library.upenn.edu/phalt/iiif/2/81431-p38s4jw06/manifest
9977406951103681,https://colenda.library.upenn.edu/phalt/iiif/2/81431-p3280552n/manifest
9977406951203681,https://colenda.library.upenn.edu/phalt/iiif/2/81431-p3dj58p4b/manifest
9977406951403681,https://colenda.library.upenn.edu/phalt/iiif/2/81431-p3513v265/manifest
9977406951603681,https://colenda.library.upenn.edu/phalt/iiif/2/81431-p3183482d/manifest
9977406951903681,https://colenda.library.upenn.edu/phalt/iiif/2/81431-p3cj87s43/manifest
9977406952003681,https://colenda.library.upenn.edu/phalt/iiif/2/81431-p37s7j00c/manifest
9977406952203681,https://colenda.library.upenn.edu/phalt/iiif/2/81431-p3416t56x/manifest
9977406952303681,https://colenda.library.upenn.edu/phalt/iiif/2/81431-p30863c25/manifest
9977406953003681,https://colenda.library.upenn.edu/phalt/iiif/2/81431-p3tq5rm36/manifest
9977424453803681,https://colenda.library.upenn.edu/phalt/iiif/2/81431-p3wh2dm7d/manifest
9977459936703681,https://colenda.library.upenn.edu/phalt/iiif/2/81431-p3vx0689g/manifest
9977459936903681,https://colenda.library.upenn.edu/phalt/iiif/2/81431-p30k26j27/manifest
9977459937003681,https://colenda.library.upenn.edu/phalt/iiif/2/81431-p3m61bw6q/manifest
9977459937103681,https://colenda.library.upenn.edu/phalt/iiif/2/81431-p3br8mp1m/manifest
9977459940003681,https://colenda.library.upenn.edu/phalt/iiif/2/81431-p3j960g9z/manifest
9977459940203681,https://colenda.library.upenn.edu/phalt/iiif/2/81431-p3n29pd33/manifest
9977459940303681,https://colenda.library.upenn.edu/phalt/iiif/2/81431-p3cv4bz3p/manifest
9977459940803681,https://colenda.library.upenn.edu/phalt/iiif/2/81431-p3vm4340h/manifest
9977459940903681,https://colenda.library.upenn.edu/phalt/iiif/2/81431-p3hm52r7t/manifest
9977459941003681,https://colenda.library.upenn.edu/phalt/iiif/2/81431-p3nc5sk2p/manifest
9977459941103681,https://colenda.library.upenn.edu/phalt/iiif/2/81431-p3mc8rp0g/manifest
9977508749303681,https://colenda.library.upenn.edu/phalt/iiif/2/81431-p34b2xb60/manifest
9977508749403681,https://colenda.library.upenn.edu/phalt/iiif/2/81431-p3k35mm16/manifest
