holding_institution,shelfmark,iiif_manifest_url
State of California,Italian Manuscripts 121,https://iiif.archivelab.org/iiif/images_SutroCollectionItalianManuscripts121_12/manifest.json
State of California,Italian Manuscripts 098,https://iiif.archivelab.org/iiif/images_SutroCollectionItalianManuscripts098_12/manifest.json
State of California,Italian Manuscripts 089,https://iiif.archivelab.org/iiif/images_SutroCollectionItalianManuscripts089_12/manifest.json
State of California,Italian Manuscripts 051,https://iiif.archivelab.org/iiif/images_SutroCollectionItalianManuscripts051_12/manifest.json
State of California,Italian Manuscripts 049,https://iiif.archivelab.org/iiif/images_SutroCollectionItalianManuscripts049_12/manifest.json
State of California,Italian Manuscripts 048,https://iiif.archivelab.org/iiif/images_SutroCollectionItalianManuscripts048_12/manifest.json
State of California,Italian Manuscripts 045,https://iiif.archivelab.org/iiif/images_SutroCollectionItalianManuscripts045_12/manifest.json
State of California,Italian Manuscripts 043,https://iiif.archivelab.org/iiif/images_SutroCollectionItalianManuscripts043_12/manifest.json
State of California,Italian Manuscripts 042,https://iiif.archivelab.org/iiif/images_SutroCollectionItalianManuscripts042_12/manifest.json
State of California,Italian Manuscripts 041,https://iiif.archivelab.org/iiif/images_SutroCollectionItalianManuscripts041_12/manifest.json
State of California,Italian Manuscripts 040,https://iiif.archivelab.org/iiif/images_SutroCollectionItalianManuscripts040_12/manifest.json
State of California,Italian Manuscripts 031,https://iiif.archivelab.org/iiif/images_SutroCollectionItalianManuscripts031_12/manifest.json
State of California,Italian Manuscripts 021,https://iiif.archivelab.org/iiif/images_SutroCollectionItalianManuscripts021_12/manifest.json
State of California,Halliwell Phillips MS 04,https://iiif.archivelab.org/iiif/images_SutroCollectionHalliwellPhillipsMS04_12/manifest.json
State of California,Halliwell Phillips MS 03,https://iiif.archivelab.org/iiif/images_SutroCollectionHalliwellPhillipsMS03_12/manifest.json
State of California,Halliwell Phillips MS 02,https://iiif.archivelab.org/iiif/images_SutroCollectionHalliwellPhillipsMS02_12/manifest.json
State of California,Halliwell Phillips MS 01,https://iiif.archivelab.org/iiif/images_SutroCollectionHalliwellPhillipsMS01_12/manifest.json
State of California,CSL v096 C3631,https://iiif.archivelab.org/iiif/images_CSLv096C3631_9/manifest.json
State of California,CSL v091 B29,https://iiif.archivelab.org/iiif/images_CSLv091B29_9/manifest.json
